측정일시,SO2,CO,O3,NO2,PM10,PM25
2021100101,0.00126,0.34444444444444444,0.0399,0.00648,20.2,10.1
2021100102,0.00125,0.32999999999999996,0.0375,0.0061400000000000005,21.3,9.0
2021100103,0.00135,0.32999999999999996,0.033100000000000004,0.0062,21.6,10.5
2021100104,0.00135,0.32999999999999996,0.0332,0.0058200000000000005,21.7,10.3
2021100105,0.00125,0.32,0.0315,0.00626,20.8,10.8
2021100106,0.00115,0.3,0.029599999999999998,0.007200000000000001,18.6,8.7
2021100107,0.0010500000000000002,0.3111111111111111,0.028600000000000004,0.01006,18.7,8.2
2021100108,0.00126,0.37777777777777777,0.028999999999999998,0.013430000000000001,19.8,9.2
2021100109,0.0015600000000000002,0.4,0.040100000000000004,0.011640000000000001,23.3,10.8
2021100110,0.00166,0.37777777777777777,0.0511,0.00928,25.5,12.6
2021100111,0.00167,0.33999999999999997,0.058399999999999994,0.0075899999999999995,26.1,13.3
2021100112,0.0015699999999999998,0.36,0.0612,0.00704,25.9,13.6
2021100113,0.00147,0.37777777777777777,0.0629,0.00645,29.0,15.7
2021100114,0.0013700000000000001,0.35,0.0641,0.00622,28.9,14.3
2021100115,0.00136,0.35,0.065,0.0071400000000000005,28.4,14.3
2021100116,0.00117,0.33999999999999997,0.06520000000000001,0.00732,28.8,13.8
2021100117,0.00146,0.35,0.0643,0.00753,28.2,13.5
2021100118,0.00146,0.37,0.0626,0.00894,31.1,13.8
2021100119,0.00135,0.4,0.0576,0.01013,30.9,15.0
2021100120,0.00115,0.38,0.0427,0.01151,32.2,18.7
2021100121,0.00115,0.35,0.0419,0.00942,32.4,16.7
2021100122,0.0010500000000000002,0.35,0.0436,0.00825,31.0,15.8
2021100123,0.0010500000000000002,0.33999999999999997,0.0409,0.00814,28.6,15.5
2021100124,0.00115,0.35,0.0426,0.00673,30.6,15.1
2021100201,0.0010500000000000002,0.35555555555555557,0.0457,0.00558,29.2,15.8
2021100202,0.0010500000000000002,0.35,0.047,0.00456,31.5,16.3
2021100203,0.0010500000000000002,0.36,0.049,0.004350000000000001,32.2,16.3
2021100204,0.0010500000000000002,0.33999999999999997,0.0481,0.00483,35.2,20.1
2021100205,0.0010500000000000002,0.32,0.0499,0.00512,37.7,21.4
2021100206,0.0010500000000000002,0.33,0.0503,0.00645,40.1,21.5
2021100207,0.0010500000000000002,0.37777777777777777,0.047099999999999996,0.009229999999999999,39.6,21.8
2021100208,0.00106,0.36,0.0456,0.01285,41.2,22.2
2021100209,0.00126,0.37,0.055700000000000006,0.011019999999999999,44.4,22.6
2021100210,0.00116,0.35,0.06760000000000001,0.00689,43.6,20.6
2021100211,0.0012699999999999999,0.33999999999999997,0.07089999999999999,0.00627,41.1,20.7
2021100212,0.00146,0.33999999999999997,0.0698,0.0076100000000000004,42.2,17.2
2021100213,0.0015600000000000002,0.35555555555555557,0.07050000000000001,0.00688,38.5,17.4
2021100214,0.00146,0.33999999999999997,0.07039999999999999,0.00708,38.3,17.4
2021100215,0.00146,0.32,0.0689,0.007670000000000001,39.3,17.3
2021100216,0.00146,0.32999999999999996,0.0703,0.00727,40.6,18.5
2021100217,0.0015600000000000002,0.35,0.06770000000000001,0.00878,39.4,18.0
2021100218,0.00146,0.35,0.06520000000000001,0.00885,41.3,18.8
2021100219,0.00135,0.3888888888888889,0.0588,0.01129,43.5,21.4
2021100220,0.00135,0.4,0.045899999999999996,0.01211,45.4,23.444444444444443
2021100221,0.00125,0.41000000000000003,0.040400000000000005,0.01311,44.7,25.5
2021100222,0.00125,0.38,0.0402,0.01239,41.7,23.3
