date,hour,area,electricity demand(MWh)
2021-01-01,1,제주도,746329
2021-01-01,2,제주도,710544
2021-01-01,3,제주도,685313
2021-01-01,4,제주도,674663
2021-01-01,5,제주도,673656
2021-01-01,6,제주도,681400
2021-01-01,7,제주도,697155
2021-01-01,8,제주도,711220
2021-01-01,9,제주도,712511
2021-01-01,10,제주도,680729
2021-01-01,11,제주도,666628
2021-01-01,12,제주도,660137
2021-01-01,13,제주도,665656
2021-01-01,14,제주도,670936
2021-01-01,15,제주도,677561
2021-01-01,16,제주도,706211
2021-01-01,17,제주도,746329
2021-01-01,18,제주도,793037
2021-01-01,19,제주도,811248
2021-01-01,20,제주도,799623
2021-01-01,21,제주도,779496
2021-01-01,22,제주도,750644
2021-01-01,23,제주도,735134
2021-01-01,24,제주도,731775
2021-01-02,1,제주도,696691
2021-01-02,2,제주도,676685
2021-01-02,3,제주도,653840
2021-01-02,4,제주도,646754
2021-01-02,5,제주도,652609
2021-01-02,6,제주도,665034
2021-01-02,7,제주도,681674
2021-01-02,8,제주도,700171
2021-01-02,9,제주도,711602
2021-01-02,10,제주도,690139
2021-01-02,11,제주도,686526
2021-01-02,12,제주도,684882
2021-01-02,13,제주도,651724
2021-01-02,14,제주도,624807
2021-01-02,15,제주도,614610
2021-01-02,16,제주도,627123
2021-01-02,17,제주도,689456
2021-01-02,18,제주도,802613
2021-01-02,19,제주도,854523
2021-01-02,20,제주도,856637
2021-01-02,21,제주도,844529
2021-01-02,22,제주도,817213
2021-01-02,23,제주도,804456
2021-01-02,24,제주도,805108
2021-01-03,1,제주도,761605
2021-01-03,2,제주도,721750
2021-01-03,3,제주도,699323
2021-01-03,4,제주도,689283
2021-01-03,5,제주도,689513
2021-01-03,6,제주도,699480
2021-01-03,7,제주도,716947
2021-01-03,8,제주도,724572
2021-01-03,9,제주도,707432
2021-01-03,10,제주도,626458
2021-01-03,11,제주도,604327
2021-01-03,12,제주도,585173
2021-01-03,13,제주도,569383
2021-01-03,14,제주도,575014
2021-01-03,15,제주도,606953
2021-01-03,16,제주도,645027
2021-01-03,17,제주도,716579
2021-01-03,18,제주도,805433
2021-01-03,19,제주도,845691
2021-01-03,20,제주도,837328
2021-01-03,21,제주도,811747
2021-01-03,22,제주도,771693
2021-01-03,23,제주도,755239
2021-01-03,24,제주도,751093
2021-01-04,1,제주도,713566
2021-01-04,2,제주도,690486
2021-01-04,3,제주도,678982
2021-01-04,4,제주도,675300
2021-01-04,5,제주도,686104
2021-01-04,6,제주도,704958
2021-01-04,7,제주도,740035
2021-01-04,8,제주도,787229
2021-01-04,9,제주도,811022
2021-01-04,10,제주도,738695
2021-01-04,11,제주도,702160
2021-01-04,12,제주도,707427
2021-01-04,13,제주도,685221
2021-01-04,14,제주도,691959
2021-01-04,15,제주도,703958
2021-01-04,16,제주도,720881
2021-01-04,17,제주도,773207
2021-01-04,18,제주도,857039
2021-01-04,19,제주도,860347
2021-01-04,20,제주도,837839
2021-01-04,21,제주도,809087
2021-01-04,22,제주도,772717
2021-01-04,23,제주도,747166
2021-01-04,24,제주도,741869
2021-01-05,1,제주도,705262
2021-01-05,2,제주도,671701
2021-01-05,3,제주도,653466
2021-01-05,4,제주도,658218
2021-01-05,5,제주도,662100
2021-01-05,6,제주도,674989
2021-01-05,7,제주도,693125
2021-01-05,8,제주도,721399
2021-01-05,9,제주도,797511
2021-01-05,10,제주도,850131
2021-01-05,11,제주도,797152
2021-01-05,12,제주도,794552
2021-01-05,13,제주도,776965
2021-01-05,14,제주도,785563
2021-01-05,15,제주도,773714
2021-01-05,16,제주도,781230
2021-01-05,17,제주도,816094
2021-01-05,18,제주도,902904
2021-01-05,19,제주도,912425
2021-01-05,20,제주도,891405
2021-01-05,21,제주도,862185
2021-01-05,22,제주도,819901
2021-01-05,23,제주도,799307
2021-01-05,24,제주도,800894
2021-01-06,1,제주도,752883
2021-01-06,2,제주도,723343
2021-01-06,3,제주도,702484
2021-01-06,4,제주도,688403
2021-01-06,5,제주도,687649
2021-01-06,6,제주도,704205
2021-01-06,7,제주도,736354
2021-01-06,8,제주도,784599
2021-01-06,9,제주도,850658
2021-01-06,10,제주도,839693
2021-01-06,11,제주도,829981
2021-01-06,12,제주도,805299
2021-01-06,13,제주도,766154
2021-01-06,14,제주도,736500
2021-01-06,15,제주도,727288
2021-01-06,16,제주도,765334
2021-01-06,17,제주도,841399
2021-01-06,18,제주도,913602
2021-01-06,19,제주도,927652
2021-01-06,20,제주도,902868
2021-01-06,21,제주도,860977
2021-01-06,22,제주도,813174
2021-01-06,23,제주도,788511
2021-01-06,24,제주도,790011
2021-01-07,1,제주도,760967
2021-01-07,2,제주도,739655
2021-01-07,3,제주도,731669
2021-01-07,4,제주도,731600
2021-01-07,5,제주도,740354
2021-01-07,6,제주도,754263
2021-01-07,7,제주도,787922
2021-01-07,8,제주도,838252
2021-01-07,9,제주도,897338
2021-01-07,10,제주도,917236
2021-01-07,11,제주도,959258
2021-01-07,12,제주도,945747
2021-01-07,13,제주도,923867
2021-01-07,14,제주도,924348
2021-01-07,15,제주도,933525
2021-01-07,16,제주도,932032
2021-01-07,17,제주도,945178
2021-01-07,18,제주도,956944
2021-01-07,19,제주도,950286
2021-01-07,20,제주도,925632
2021-01-07,21,제주도,893248
2021-01-07,22,제주도,856797
2021-01-07,23,제주도,837740
2021-01-07,24,제주도,840671
2021-01-08,1,제주도,808684
2021-01-08,2,제주도,774941
2021-01-08,3,제주도,755884
2021-01-08,4,제주도,751459
2021-01-08,5,제주도,749567
2021-01-08,6,제주도,759458
2021-01-08,7,제주도,786330
2021-01-08,8,제주도,824014
2021-01-08,9,제주도,892967
2021-01-08,10,제주도,936137
2021-01-08,11,제주도,946172
2021-01-08,12,제주도,925093
2021-01-08,13,제주도,886359
2021-01-08,14,제주도,875725
2021-01-08,15,제주도,870095
2021-01-08,16,제주도,886716
2021-01-08,17,제주도,915683
2021-01-08,18,제주도,938566
2021-01-08,19,제주도,935726
2021-01-08,20,제주도,918190
2021-01-08,21,제주도,890208
2021-01-08,22,제주도,853526
2021-01-08,23,제주도,838924
2021-01-08,24,제주도,840965
2021-01-09,1,제주도,805990
2021-01-09,2,제주도,775271
2021-01-09,3,제주도,758837
2021-01-09,4,제주도,746764
2021-01-09,5,제주도,743930
2021-01-09,6,제주도,752180
2021-01-09,7,제주도,771472
2021-01-09,8,제주도,794499
2021-01-09,9,제주도,825904
2021-01-09,10,제주도,832021
2021-01-09,11,제주도,811081
2021-01-09,12,제주도,799350
2021-01-09,13,제주도,783267
2021-01-09,14,제주도,765570
2021-01-09,15,제주도,742680
2021-01-09,16,제주도,767885
2021-01-09,17,제주도,844467
2021-01-09,18,제주도,898217
2021-01-09,19,제주도,914077
2021-01-09,20,제주도,899051
2021-01-09,21,제주도,870030
2021-01-09,22,제주도,837671
2021-01-09,23,제주도,828664
2021-01-09,24,제주도,829600
2021-01-10,1,제주도,799144
2021-01-10,2,제주도,768990
2021-01-10,3,제주도,750947
2021-01-10,4,제주도,738883
2021-01-10,5,제주도,737399
2021-01-10,6,제주도,746453
2021-01-10,7,제주도,762021
2021-01-10,8,제주도,772525
2021-01-10,9,제주도,778132
2021-01-10,10,제주도,744702
2021-01-10,11,제주도,706887
2021-01-10,12,제주도,698850
2021-01-10,13,제주도,701612
2021-01-10,14,제주도,720881
2021-01-10,15,제주도,735525
2021-01-10,16,제주도,748044
2021-01-10,17,제주도,804416
2021-01-10,18,제주도,869768
2021-01-10,19,제주도,886351
2021-01-10,20,제주도,875141
2021-01-10,21,제주도,853067
2021-01-10,22,제주도,817928
2021-01-10,23,제주도,803693
2021-01-10,24,제주도,801221
2021-01-11,1,제주도,764653
2021-01-11,2,제주도,730814
2021-01-11,3,제주도,706374
2021-01-11,4,제주도,693324
2021-01-11,5,제주도,695389
2021-01-11,6,제주도,710185
2021-01-11,7,제주도,742738
2021-01-11,8,제주도,794749
2021-01-11,9,제주도,874281
2021-01-11,10,제주도,924235
2021-01-11,11,제주도,914524
2021-01-11,12,제주도,849791
2021-01-11,13,제주도,847342
2021-01-11,14,제주도,933735
2021-01-11,15,제주도,920073
2021-01-11,16,제주도,851214
2021-01-11,17,제주도,891359
2021-01-11,18,제주도,938433
2021-01-11,19,제주도,933836
2021-01-11,20,제주도,911555
2021-01-11,21,제주도,884709
2021-01-11,22,제주도,847193
2021-01-11,23,제주도,833073
2021-01-11,24,제주도,829629
2021-01-12,1,제주도,794557
2021-01-12,2,제주도,765049
2021-01-12,3,제주도,748517
2021-01-12,4,제주도,737301
2021-01-12,5,제주도,743505
2021-01-12,6,제주도,758608
2021-01-12,7,제주도,787756
2021-01-12,8,제주도,835500
2021-01-12,9,제주도,878215
2021-01-12,10,제주도,850745
2021-01-12,11,제주도,824590
2021-01-12,12,제주도,790842
2021-01-12,13,제주도,752430
2021-01-12,14,제주도,802714
2021-01-12,15,제주도,806300
2021-01-12,16,제주도,815056
2021-01-12,17,제주도,860329
2021-01-12,18,제주도,928742
2021-01-12,19,제주도,943882
2021-01-12,20,제주도,930362
2021-01-12,21,제주도,905293
2021-01-12,22,제주도,866004
2021-01-12,23,제주도,849284
2021-01-12,24,제주도,844806
2021-01-13,1,제주도,800201
2021-01-13,2,제주도,761673
2021-01-13,3,제주도,739153
2021-01-13,4,제주도,725891
2021-01-13,5,제주도,715693
2021-01-13,6,제주도,714686
2021-01-13,7,제주도,735509
2021-01-13,8,제주도,782750
2021-01-13,9,제주도,824506
2021-01-13,10,제주도,751707
2021-01-13,11,제주도,698262
2021-01-13,12,제주도,664655
2021-01-13,13,제주도,635644
2021-01-13,14,제주도,643733
2021-01-13,15,제주도,643070
2021-01-13,16,제주도,660246
2021-01-13,17,제주도,725688
2021-01-13,18,제주도,817499
2021-01-13,19,제주도,873750
2021-01-13,20,제주도,871256
2021-01-13,21,제주도,847427
2021-01-13,22,제주도,812081
2021-01-13,23,제주도,790053
2021-01-13,24,제주도,772171
2021-01-14,1,제주도,739049
2021-01-14,2,제주도,706209
2021-01-14,3,제주도,687763
2021-01-14,4,제주도,680204
2021-01-14,5,제주도,686963
2021-01-14,6,제주도,708450
2021-01-14,7,제주도,744925
2021-01-14,8,제주도,793579
2021-01-14,9,제주도,803556
2021-01-14,10,제주도,717359
2021-01-14,11,제주도,674256
2021-01-14,12,제주도,636473
2021-01-14,13,제주도,596637
2021-01-14,14,제주도,595573
2021-01-14,15,제주도,603281
2021-01-14,16,제주도,623348
2021-01-14,17,제주도,674002
2021-01-14,18,제주도,758818
2021-01-14,19,제주도,815445
2021-01-14,20,제주도,823502
2021-01-14,21,제주도,805138
2021-01-14,22,제주도,771317
2021-01-14,23,제주도,752447
2021-01-14,24,제주도,741061
2021-01-15,1,제주도,697507
2021-01-15,2,제주도,662954
2021-01-15,3,제주도,640711
2021-01-15,4,제주도,634708
2021-01-15,5,제주도,635442
2021-01-15,6,제주도,651940
2021-01-15,7,제주도,673571
2021-01-15,8,제주도,707281
2021-01-15,9,제주도,734967
2021-01-15,10,제주도,713764
2021-01-15,11,제주도,690342
2021-01-15,12,제주도,658222
2021-01-15,13,제주도,608470
2021-01-15,14,제주도,608894
2021-01-15,15,제주도,602475
2021-01-15,16,제주도,613608
2021-01-15,17,제주도,663835
2021-01-15,18,제주도,729539
2021-01-15,19,제주도,765550
2021-01-15,20,제주도,768608
2021-01-15,21,제주도,762559
2021-01-15,22,제주도,745836
2021-01-15,23,제주도,736978
2021-01-15,24,제주도,735065
2021-01-16,1,제주도,703324
2021-01-16,2,제주도,673526
2021-01-16,3,제주도,657756
2021-01-16,4,제주도,652360
2021-01-16,5,제주도,658717
2021-01-16,6,제주도,676417
2021-01-16,7,제주도,705387
2021-01-16,8,제주도,731407
